original_folder,name,method
"Art Aurea _Feindaten Lösche","Art Aurea",proper_case
"Art Aurea 01-04","Art Aurea",proper_case
"ART AUREA 2020-1-ANZEIGE Diessener Toepferm","Diessener Toepferm",proper_case
"Art Aurea Awards 2015","Art Aurea Awards",proper_case
"ART AUREA Diessener Toepferm. 2020-1 Anzeige","Diessener Toepferm",proper_case
"Art Aurea Duong","Art Aurea Duong",proper_case
"Art Aurea Edition","Art Aurea Edition",proper_case
"Art Aurea Elstner","Art Aurea Elstner",proper_case
"ART AUREA FINALS","Art Aurea Finals",upper_space
"Art Aurea Forum 16 S.","Art Aurea Forum",proper_case
"Art Aurea Sammlung","Art Aurea Sammlung",proper_case
"ART AUREA VORAUSWAHL","Art Aurea Vorauswahl",upper_space
"Art Design Feldkirch","Art Design Feldkirch",proper_case
"Art Jewelry Forum Reihe","Art Jewelry Forum",proper_case
"ART PIECES","Art Pieces",upper_space
"ART PIECES DETAIL","Art Pieces Detail",upper_space
"Art Salon","Art Salon",proper_case
"Art Salon Zürich","Art Salon Zürich",proper_case
"Artdesign Feldkirch","Artdesign Feldkirch",proper_case
"Artemis Zafrana 1:2","Artemis Zafrana",proper_case
"Artemis Zafrana 1:6","Artemis Zafrana",proper_case
"Artist Images","Artist Images",proper_case
"ARTIST PORTRAITS","Artist Portraits",upper_space
"Arts Crafts World","Arts Crafts World",proper_case
"Arts Crafts World 12","Arts Crafts World",proper_case
"Arts Crafts World 16","Arts Crafts World",proper_case
"Arts Crafts World 20","Arts Crafts World",proper_case
"Arts Crafts World 24","Arts Crafts World",proper_case
"Arts Crafts World 36 S","Arts Crafts World",proper_case
"Artshock : Bernd Dreßen 1:6","Bernd Dreßen",proper_case
"Artworks Images","Artworks Images",proper_case
"Assortiert Recycling","Assortiert Recycling",proper_case
"Atelier Biaggi 4 S","Atelier Biaggi",proper_case
"Atelier Frank 1:3","Atelier Frank",proper_case
"Atelier Gilmar 1:3","Atelier Gilmar",proper_case
"Atelier Lachaert Dhanis 2","Atelier Lachaert Dhanis",proper_case
"Atelier und Porträt währned Arbeit an Ausstellung Fluider Garten","Ausstellung Fluider Garten",proper_case
"Atelier Zobel","Atelier Zobel",proper_case
"Atelier Zobel 1 Seite","Atelier Zobel",proper_case
"Atelier-Logo","Atelier Logo",proper_case
"AtelierJan Kerkstra and Marion Pannekoek 1:6","Marion Pannekoek",proper_case
"Auktionen Herbst 2011","Auktionen Herbst",proper_case
"Auktionshaus Dr.Fischer","Auktionshaus Dr",proper_case
"Aura Armspange - Aura Bracelet","Aura Armspange Aura",proper_case
